VERSION 1 0
"ADMINISTRATOR#03" 1124185120 192.168.1.5 64R
"AURELIA#00" 1125117925 192.168.8.6 44R
"AURELIA#20" 1125117921 192.168.8.6 44R
"AVALLACH#00" 1125049158 192.168.1.5 64R
"AVALLACH#03" 1125101210 192.168.1.5 64R
"AVALLACH#20" 1125101209 192.168.1.5 64R
"AVALLACH$#03" 1125101125 192.168.1.5 64R
"GANIEDA#00" 1125148158 192.168.4.34 64R
"GANIEDA#03" 1125148158 192.168.4.34 64R
"GANIEDA#20" 1125148158 192.168.4.34 64R
"GANIEDA$#03" 1125173455 192.168.4.34 64R
"MERLIN#00" 1125137792 192.168.1.7 64R
"MERLIN#03" 1125137792 192.168.1.7 64R
"MERLIN#20" 1125137792 192.168.1.7 64R
"RHONWYN#00" 1125107162 192.168.1.1 192.168.4.1 192.168.0.7 66R
"RHONWYN#03" 1125107162 192.168.1.1 192.168.4.1 192.168.0.7 66R
"RHONWYN#20" 1125107162 192.168.1.1 192.168.4.1 192.168.0.7 66R
"MYDOMAIN#00" 1125107162 255.255.255.255 e4R
"MYDOMAIN#1b" 1125107162 192.168.1.1 192.168.4.1 192.168.0.7 64R
"MYDOMAIN#1c" 1125107162 192.168.1.1 192.168.4.1 192.168.0.7 e4R
"MYDOMAIN#1e" 1125107162 255.255.255.255 e4R
"WORKGROUP#00" 1125117930 255.255.255.255 e4R
