Description			LDAP OID			oMSyntax	oMObjectClass		attributeSyntax		MS-Name
-------------------------------------------------------------------------------------------------------------------------------------------------------------
Boolean				1.3.6.1.4.1.1466.115.121.1.7	   1					2.5.5.8			Boolean
Integer				1.3.6.1.4.1.1466.115.121.1.27	   2					2.5.5.9			Integer
Octet String			1.3.6.1.4.1.1466.115.121.1.40	   4					2.5.5.10		String(Octet)
Octet String			1.3.6.1.4.1.1466.115.121.1.40	   4					2.5.5.17		String(Sid)
OID				1.3.6.1.4.1.1466.115.121.1.38	   6					2.5.5.2			String(Object-Identifier)
Integer				1.3.6.1.4.1.1466.115.121.1.27	  10					2.5.5.9			Enumeration
Numeric String			1.3.6.1.4.1.1466.115.121.1.36	  18					2.5.5.6			String(Numeric)
Printable String		1.3.6.1.4.1.1466.115.121.1.44	  19					2.5.5.5			String(Printable)
CaseIgnoreString       	     *	1.2.840.113556.1.4.905		  20					2.5.5.4			String(Teletex)
IA5 String			1.3.6.1.4.1.1466.115.121.1.26	  22					2.5.5.5			String(IA5)
UTC Time			1.3.6.1.4.1.1466.115.121.1.53	  23					2.5.5.11		String(UTC-Time)
Generalized Time		1.3.6.1.4.1.1466.115.121.1.24	  24					2.5.5.11		String(Generalized-Time)
				1.2.840.113556.1.4.1362		  27					2.5.5.3			String(Case Sensitive)
Directory String		1.3.6.1.4.1.1466.115.121.1.15	  64					2.5.5.12		String(Unicode)
Large-Integer                *	1.2.840.113556.1.4.906		  65					2.5.5.16		Interval/LargeInteger
Object-Security-Descriptor   *	1.2.840.113556.1.4.907		  66					2.5.5.15		String(NT-Sec-Desc)
DN				1.3.6.1.4.1.1466.115.121.1.12	 127	2b0c 0287 731c 0085 4a		2.5.5.1			Object(DS-DN)
DNWithOctetString            *	1.2.840.113556.1.4.903		 127	2a86 4886 f714 0101 010b	2.5.5.7			Object(DN-Binary)
OR-Name	                     *	1.2.840.113556.1.4.1221		 127	5606 0102 050b 1D		2.5.5.7			Object(OR-Name)
Octet String			1.3.6.1.4.1.1466.115.121.1.40  	 127	2a86 4886 f714 0101 0106	2.5.5.10		Object(Replica-Link)
Presentation Address		1.3.6.1.4.1.1466.115.121.1.43	 127	2b0c 0287 731c 0085 5c		2.5.5.13		Object(Presentation-Address)
Access Point			1.3.6.1.4.1.1466.115.121.1.2	 127	2b0c 0287 731c 0085 3e		2.5.5.14		Object(Access-Point)
DNWithString                 *	1.2.840.113556.1.4.904		 127	2a86 4886 f714 0101 010c	2.5.5.14		Object(DN-String)


Unrepresent Syntaxes:

ACI Item			1.3.6.1.4.1.1466.115.121.1.1
Access Point			1.3.6.1.4.1.1466.115.121.1.2
Attribute Type Description	1.3.6.1.4.1.1466.115.121.1.3
Audio				1.3.6.1.4.1.1466.115.121.1.4
Binary				1.3.6.1.4.1.1466.115.121.1.5
Bit String			1.3.6.1.4.1.1466.115.121.1.6
Certificate			1.3.6.1.4.1.1466.115.121.1.8
Certificate List		1.3.6.1.4.1.1466.115.121.1.9
Certificate Pair		1.3.6.1.4.1.1466.115.121.1.10
Country String			1.3.6.1.4.1.1466.115.121.1.11
Data Quality Syntax		1.3.6.1.4.1.1466.115.121.1.13
Delivery Method			1.3.6.1.4.1.1466.115.121.1.14
DIT Content Rule Description	1.3.6.1.4.1.1466.115.121.1.16
DIT Structure Rule Description	1.3.6.1.4.1.1466.115.121.1.17
DL Submit Permission		1.3.6.1.4.1.1466.115.121.1.18
DSA Quality Syntax		1.3.6.1.4.1.1466.115.121.1.19
DSE Type			1.3.6.1.4.1.1466.115.121.1.20
Enhanced Guide			1.3.6.1.4.1.1466.115.121.1.21
Facsimile Telephone Number	1.3.6.1.4.1.1466.115.121.1.22
Fax				1.3.6.1.4.1.1466.115.121.1.23
Guide				1.3.6.1.4.1.1466.115.121.1.25
JPEG				1.3.6.1.4.1.1466.115.121.1.28
Master And Shadow Access Points	1.3.6.1.4.1.1466.115.121.1.29
Matching Rule Description	1.3.6.1.4.1.1466.115.121.1.30
Matching Rule Use Description	1.3.6.1.4.1.1466.115.121.1.31
Mail Preference			1.3.6.1.4.1.1466.115.121.1.32
MHS OR Address			1.3.6.1.4.1.1466.115.121.1.33
Name And Optional UID		1.3.6.1.4.1.1466.115.121.1.34
Name Form Description		1.3.6.1.4.1.1466.115.121.1.35
Object Class Description	1.3.6.1.4.1.1466.115.121.1.37
Other Mailbox			1.3.6.1.4.1.1466.115.121.1.39
Postal Address			1.3.6.1.4.1.1466.115.121.1.41
Protocol Information		1.3.6.1.4.1.1466.115.121.1.42
Subtree Specification		1.3.6.1.4.1.1466.115.121.1.45
Supplier Information		1.3.6.1.4.1.1466.115.121.1.46
Supplier Or Consumer		1.3.6.1.4.1.1466.115.121.1.47
Supplier And Consumer		1.3.6.1.4.1.1466.115.121.1.48
Supported Algorithm		1.3.6.1.4.1.1466.115.121.1.49
Telephone Number		1.3.6.1.4.1.1466.115.121.1.50
Teletex Terminal Identifier	1.3.6.1.4.1.1466.115.121.1.51
Telex Number			1.3.6.1.4.1.1466.115.121.1.52
LDAP Syntax Description		1.3.6.1.4.1.1466.115.121.1.54
Modify Rights			1.3.6.1.4.1.1466.115.121.1.55
LDAP Schema Definition		1.3.6.1.4.1.1466.115.121.1.56
LDAP Schema Description		1.3.6.1.4.1.1466.115.121.1.57
Substring Assertion		1.3.6.1.4.1.1466.115.121.1.58


* names come from: draft-armijo-ldap-syntax-00.txt

